chr1	0	3000000	1
chr1	22414948	22415048	1
chr1	22423349	22473349	1
chr1	24686638	24736638	1
chr1	75102130	75118130	1
chr1	78603540	78603640	1
chr1	78604724	78605669	1
chr1	78606725	78607360	1
chr1	78610454	78610737	1
chr1	85343678	87343678	1
chr1	145296547	145296833	1
chr1	157965873	158098873	1
chr1	184906175	184906406	1
chr1	184907194	184908652	1
chr1	184913064	184913164	1
chr1	184921810	185327810	1
chr1	193781121	193781221	1
chr1	193785973	193786081	1
chr1	193825657	193875657	1
chr1	193877920	193878020	1
chr1	193883483	193883583	1
chr1	193976498	193976830	1
chr1	193980538	193987695	1
chr1	194007972	194008893	1
chr2	0	3000000	1
chr2	7113392	7113492	1
chr2	7120215	7120767	1
chr2	7122119	7122219	1
chr2	7124868	7125725	1
chr2	7127812	7127912	1
chr2	7131055	7131652	1
chr2	22347252	22397252	1
chr2	22400286	22400386	1
chr2	22407134	22407234	1
chr2	58900943	58901043	1
chr2	58908698	58958698	1
chr2	58960759	58960890	1
chr2	77980882	77980982	1
chr2	113733433	113783433	1
chr2	172450157	172451917	1
chr2	172454429	172454529	1
chr2	172481064	172481332	1
chr2	172484870	172484970	1
chr2	172489618	172490568	1
chr2	175324802	175374802	1
chr2	175992526	176042526	1
chr2	176333581	176383581	1
chr2	177398792	177448792	1
chr3	0	3000000	1
chr3	3004644	3005033	1
chr3	3008840	3009211	1
chr3	15610690	15660690	1
chr3	40449539	40454539	1
chr3	50567647	50617647	1
chr3	113180645	113230645	1
chr3	131075139	131075239	1
chr3	131076436	131126436	1
chr4	0	3000000	1
chr4	31499701	31549701	1
chr4	42110925	42160925	1
chr4	60321385	60371385	1
chr4	60760643	60810643	1
chr4	61005208	61055208	1
chr4	88958125	88958225	1
chr4	88962708	89012708	1
chr4	89018381	89019263	1
chr4	89022426	89022526	1
chr4	89032058	89032158	1
chr4	99508801	99548801	1
chr4	99564677	99564777	1
chr4	99571214	99571314	1
chr4	121448756	121498756	1
chr4	122034905	122084905	1
chr4	130068250	130068350	1
chr4	130070266	130120266	1
chr4	130121989	130122089	1
chr4	130128918	130129040	1
chr4	130170637	130170816	1
chr4	130181814	130181914	1
chr4	130184128	130184400	1
chr4	142027801	142077801	1
chr4	145489878	145539878	1
chr4	145771462	145821462	1
chr4	145967376	146017376	1
chr4	146260876	146310876	1
chr4	155608633	155608733	1
chr4	155610714	155610814	1
chr4	155627586	155628407	1
chr5	0	3000000	1
chr5	15062666	15112666	1
chr5	25423147	26323147	1
chr5	30604848	30604948	1
chr5	30606239	30606471	1
chr5	30614331	30614431	1
chr5	30615996	30641996	1
chr5	30644752	30644852	1
chr5	30647118	30647218	1
chr5	33016368	33066368	1
chr5	36971895	37051895	1
chr5	37053489	37053589	1
chr5	74371257	74383257	1
chr5	76477879	76527879	1
chr5	76531925	76532025	1
chr5	76535953	76536229	1
chr5	94517361	94567361	1
chr5	113950994	113985994	1
chr5	113996512	113997223	1
chr5	114010055	114010155	1
chr5	114033694	114033794	1
chr5	114036555	114036655	1
chr5	125077659	125078685	1
